date,close,log_return,rolling_vol,hmm_state,hmm_regime,hmm_confidence,hmm_prob_state_0,hmm_prob_state_1,hmm_prob_state_2,hmm_prob_state_3
2005-02-02,2052.25,-0.0036964123700909,0.0157894614195746,3,High-Vol,1.0,0.0,1.1192846091306585e-173,0.0,1.0
2005-02-03,2079.45,0.0131666834241192,0.0160924265698351,3,High-Vol,0.9999932045769916,5.24471239457652e-89,6.795422973013795e-06,1.2171446931278783e-14,0.9999932045769916
2005-02-04,2077.95,-0.000721604880497,0.0139652036996068,3,High-Vol,0.9999959105727556,1.247788453280194e-34,4.068806891151004e-06,2.061976113602957e-08,0.9999959105727556
2005-02-07,2055.1,-0.011057322225123,0.0136327916666655,3,High-Vol,0.9999948251849872,7.939369039434345e-27,5.044296062637849e-06,1.305189975101394e-07,0.9999948251849872
2005-02-08,2055.15,2.4329420352859996e-05,0.0135304992170002,3,High-Vol,0.9999953575842013,1.6769053541923072e-25,3.6537711545122955e-06,9.886444979850753e-07,0.9999953575842013
2005-02-09,2070.0,0.0071997692921874,0.0129247603287311,3,High-Vol,0.9954329194171029,1.6657528649119563e-19,2.4685574750934264e-06,0.0045646120260198295,0.9954329194171029
2005-02-10,2063.35,-0.0032177317370793,0.012339652447915,3,High-Vol,0.7495903492850922,4.2691637944734734e-14,2.769183142956222e-07,0.25040937379671324,0.7495903492850922
2005-02-11,2082.05,0.0090221097340513,0.0111840118876425,2,Sideways,0.9348929806058186,4.5907980549077137e-10,3.8641696481078767e-08,0.9348929806058186,0.06510698029262002
2005-02-14,2098.25,0.0077506787065504,0.0104944706766707,2,Sideways,0.9969682701811733,1.973501311873141e-08,1.2668715493251375e-09,0.9969682701811733,0.003031708816853433
2005-02-15,2089.95,-0.0039635217352266,0.0100046476481404,2,Sideways,0.9998880801765889,5.23690670760527e-08,4.5972731270608625e-10,0.9998880801765889,0.00011186699435683372
2005-02-16,2068.8,-0.0101714132101171,0.0104779531241954,2,Sideways,0.9999391608734626,2.9901250071158224e-09,7.235698008943329e-10,0.9999391608734626,6.0835412849704845e-05
2005-02-17,2061.9,-0.0033408412219238,0.010569910179727,2,Sideways,0.9999000769216486,7.218388270307344e-10,1.1421744211553129e-09,0.9999000769216486,9.992121461226479e-05
