date,close,log_return,rolling_vol,rolling_mean,momentum,log_return_scaled,rolling_vol_scaled,rolling_mean_scaled,momentum_scaled
2005-02-02,2052.25,-0.0036964123700909397,0.01578946141957464,-0.0015059030126001298,0.061746598375497896,-0.3189053108522252,0.6727424768156793,-0.6529050515704041,1.352201718824202
2005-02-03,2079.45,0.013166683424119236,0.01609242656983517,-0.0005809015426260372,0.0751790284635867,0.9657621860525766,0.716546964692244,-0.35124496098543206,1.6772305061912742
2005-02-04,2077.95,-0.0007216048804970646,0.01396520369960688,0.001113144036010843,0.07853009109075315,-0.092277973970088,0.40898053881937946,0.20121463966902475,1.758317235469312
2005-02-07,2055.1,-0.011057322225123064,0.01363279166666559,0.0014001334252290133,0.06741806471718692,-0.879675513062235,0.36091844700954795,0.2948071883931947,1.48943599553687
2005-02-08,2055.15,2.4329420352859993e-05,0.013530499217000261,0.0009740767205003567,0.07655840754321641,-0.03545106847048669,0.3461284014634652,0.15586221553128027,1.710607780938389
2005-02-09,2070.0,0.007199769292187418,0.01292476032873114,0.0021721085684740875,0.07151176333566278,0.5111896250198253,0.25854710122239444,0.5465625630599812,1.5884925243320096
2005-02-10,2063.35,-0.0032177317370793647,0.012339652447915097,0.002772538656162588,0.0554219948849104,-0.2824383739307779,0.17394875369084334,0.7423739217674746,1.1991632745782812
2005-02-11,2082.05,0.009022109734051334,0.011184011887642575,0.004218335025003726,0.03672260120499926,0.6500195031470377,0.00685942718384232,1.2138748628462566,0.7466880923198953
2005-02-14,2098.25,0.007750678706550407,0.010494470676670739,0.0035471838033431296,0.01975602643856922,0.5531591083820669,-0.09283850701893091,0.995000034108935,0.3361424809940929
2005-02-15,2089.95,-0.003963521735226612,0.010004647648140413,0.003952517675051546,0.014612714518047465,-0.33925428613507286,-0.16366000875425532,1.1271869077796794,0.21168812496061593
2005-02-16,2068.8,-0.010171413210117197,0.010477953124195423,0.0033973631602443517,0.008064319649165652,-0.8121850278819431,-0.09522671215253557,0.9461407509232101,0.053234529484933214
2005-02-17,2061.9,-0.003340841221923878,0.01056991017972701,0.0032005818981266135,-0.00843973165981371,-0.2918171235785586,-0.08193101883357116,0.8819667411699882,-0.3461192544858675
2005-02-18,2055.55,-0.0030844357718274127,0.01054497140484602,0.0032380354290987914,-0.010779855145696349,-0.27228359593998164,-0.08553681395882326,0.8941810304576696,-0.40274396750634384
2005-02-21,2043.2,-0.006026245745566995,0.010715521019366061,0.0029717703271492715,-0.005790472483090836,-0.4963971099384722,-0.06087774503564335,0.8073470551819778,-0.2820142867336147
2005-02-22,2058.4,0.00741177568925959,0.010405016490407664,0.0037674718620893588,0.0015813930856627412,0.5273407357517008,-0.10577232074073757,1.0668400450853892,-0.10363490856214312
2005-02-23,2057.1,-0.0006317580091060998,0.010265966732466292,0.003140956547581985,-0.006231884057971038,-0.08543324292051475,-0.1258769546590091,0.8625218113722473,-0.2926952631446012
2005-02-24,2055.3,-0.0008754012814652045,0.010087599322200276,0.0025015814628748636,-0.0039014224440835354,-0.10399451996353153,-0.15166636658923627,0.6540097687093026,-0.23630434151687219
2005-02-25,2060.9,0.00272095790049966,0.008300442273829286,0.0012927093767415385,-0.01015825748661181,0.16998398342916643,-0.4100640707197745,0.2597742189875962,-0.387702971049447
2005-02-28,2103.25,0.02034098685346016,0.007759572007728318,0.0010971756193811537,0.0023829381627546997,1.5123163028696909,-0.48826628306611275,0.1960070436128309,-0.08423966714128762
2005-03-01,2084.4,-0.009002723395863393,0.008081558111899081,0.0005923939718296719,-0.0026555659226296102,-0.7231516833135596,-0.4417116335150285,0.031388410595657085,-0.20615795461993927
2005-03-02,2093.25,0.004236838049481574,0.008054620571578077,0.0009890564928082977,0.01181844547563804,0.2854670465846814,-0.4456064219334364,0.16074739638562238,0.14407430732109242
2005-03-03,2128.85,0.01686404571386113,0.008384504816012377,0.0011739246072953924,0.0324700518938843,1.2474353269680047,-0.3979098126911996,0.22103630832001303,0.6437878027411661
2005-03-04,2148.15,0.009025078794418986,0.008550149881982414,0.0016612587910411949,0.045048770402082106,0.6502456926556083,-0.3739598723173394,0.3799650006366097,0.9481590592107385
2005-03-07,2160.1,0.005547510310045162,0.008041179612702457,0.002491500417799606,0.05721417384494898,0.3853169242577298,-0.4475497950230811,0.6507221534251038,1.2425291994560634
2005-03-08,2168.95,0.004088662560563217,0.008026891892740091,0.0026947170748101244,0.05370676253400686,0.2741787139573623,-0.44961559782362437,0.7169948644986169,1.1576592512994768
2005-03-09,2160.8,-0.003764655985023814,0.008077277907350348,0.0021464958109495623,0.050410772446648267,-0.32410425860449094,-0.4423304907271632,0.538209769031237,1.0779051298007898
2005-03-10,2167.4,0.003049769010488971,0.007979192798060418,0.0024598708483279793,0.054541916021991765,0.19503353250244454,-0.45651221419293986,0.6404071657178497,1.1778677261387258
2005-03-11,2154.0,-0.006201713772560945,0.008046099628186192,0.0016986796729973653,0.04517443835217616,-0.5097646477723341,-0.446838430173281,0.39216864247621036,0.9511998866084702
